,ATR,RSI,Stochastic Oscillator,SMA,VWAP,MACD,ADX,CCI,Williams %R,Parabolic SAR,OBV,CMF
354,1.8335714285714286,40.99783080260302,59.33014354066987,36.06357142857143,59.919280593838266,-1.1366353737342791,4591.977246314218,11.529025507810939,-40.66985645933012,34.41,4565.7899999999945,0.0027467182829930704
355,1.662857142857143,32.728771640560595,29.286798179059193,36.24142857142858,59.80392952254254,-1.3241211174006438,4657.785410712758,-24.050896817193216,-70.71320182094081,34.41,4418.339999999995,-0.07024141007838637
356,1.7321428571428572,28.56115107913668,29.0201005025125,36.54071428571429,59.67281607437259,-1.3619066139726073,4756.683259526104,-27.03181649286439,-70.9798994974875,34.5,4527.339999999995,-0.06662407201755983
357,1.7171428571428575,26.225854383358097,10.56910569105687,36.96642857142857,59.532677417444546,-1.4290160061212163,4814.76949368721,-54.233797590831955,-89.43089430894314,34.04,4400.959999999995,-0.11921432770933513
358,1.6364285714285722,32.942162615255654,32.984901277584164,37.423571428571435,59.41616096384841,-1.3513408520109564,4848.040942274365,-33.219871722741196,-67.01509872241583,34.04,4534.229999999995,-0.07303543058374652
359,1.6407142857142867,24.798711755233484,23.112659698025492,37.714285714285715,59.27435369916348,-1.4290523338264194,4917.827957752057,-52.91717518938731,-76.8873403019745,35.23,4415.999999999995,-0.11530156980159693
360,1.6278571428571438,31.924198250728878,22.18350754936117,38.16142857142857,59.13957824369588,-1.4209087730334105,4983.543798542017,-85.04989593239414,-77.81649245063883,34.13,4272.569999999995,-0.07926283850435864
361,1.5585714285714296,28.153846153846175,12.427409988385602,38.51571428571429,59.00787845804226,-1.3817014096498497,5060.595783489903,-127.29133276453663,-87.5725900116144,33.63,4138.499999999995,-0.07669959030683808
362,1.577142857142858,25.20087655222791,3.965303593556385,38.92142857142857,58.90169930084817,-1.2260338089726517,5137.63224062855,-153.49885485386793,-96.03469640644362,33.63,4010.059999999996,-0.05154739743771246
363,1.5692857142857153,26.136363636363654,15.07607192254499,39.40642857142858,58.82389772193319,-0.9881303068868803,5202.081102278851,-147.70635714357866,-84.92392807745502,34.17,4115.399999999996,0.007380789141926221
364,1.5714285714285725,24.065420560747683,1.5068493150684859,39.85642857142857,58.73535233827192,-0.8340333961245108,5260.023728113781,-162.91814946619203,-98.49315068493152,35.01,4034.129999999996,0.006049425583201567
365,1.5964285714285726,23.61111111111113,0.38510911424905186,40.332142857142856,58.634207623047466,-0.577363762444179,5323.866287277405,-187.31738202906067,-99.61489088575095,35.52,3940.039999999996,-0.014119224266321343
366,1.509285714285715,30.741733690795343,0.8833922261483602,40.82071428571429,58.55340263343937,-0.23830741163845914,5373.6097402210835,-107.16057176353893,-99.11660777385164,35.57,4048.4499999999957,0.07804809092774835
367,1.437857142857144,41.17647058823532,21.008403361344545,41.128571428571426,58.49522964977782,-0.02099101607714715,5447.765195114825,-76.01532567049809,-78.99159663865545,37.7,4146.469999999996,0.09950975793459313
368,1.551428571428573,53.871230643846786,24.625267665953004,41.254999999999995,58.44783979594731,0.06832541630951283,5491.774926789813,-59.89266755263167,-75.374732334047,38.6,4220.839999999996,0.11213977194915054
